Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013795","1","LETICIA CLARA (-)","LETICIA CLARA: Unknown/unspecified","PRT","2022-12-16 09:00","Very serious","395374N 0090019W","Coastal waters (within 12 miles)","1","0","Capsizing / listing","On 16-12-2022 the vessel was inbound after fishery when she capsized due to a wave. One crew member- skipper- was recovered alive ashore and 3 observers on board are missing.","Fish Catching Vessel","Serious injuries,Ship rendered unfit to proceed,Total loss of the ship","16.44","","","","1","0","3","0","0","0","1","0","0","2023-04-28",""
"C0013777","1","ARY (IMO 8928480)","ARY: Unknown/unspecified","VUT","2022-12-06 08:06","Very serious","532400N 0061300E","Port","1","0","","Three crew members arrived at the support ship Ary (Vanuatu flag) in the port of Lauwersoog, after having driven here from Poland by car. The three crew members wanted to get on board. The gangway had not yet been laid out, but was on board. Without consultation, they chose to climb aboard. While trying to climb on board, the cook/sailor slipped and fell into the water. The other crewmembers saw him fall and tried to get him out of the water. A crew member jumped into the water to help him out and tied a rope around him so that he could be pulled out. This did not work, because of his weight. A forklift truck was used to lift his body out of the water. The crew member died.","Other Activities Ships","Loss of life","284","","215","","","","","1","0","0","0","0","0","2023-03-14",""
"C0013839","1","GALEA (-)","GALEA: Unknown/unspecified","FRA","2022-11-28 10:55","Very serious","432420N 0050380E","NOT_KNOWN","1","0","Capsizing / listing","Small fishing vessel capsized, seaman drowned when he tried to swim to shore","Fish Catching Vessel","Loss of life","0.85","","","","","0","","1","0","0","0","0","0","2023-07-12",""
"C0013880","1","ARKLOW RAIDER (IMO 9344540)","ARKLOW RAIDER: Unknown/unspecified","IRL","2022-11-25 19:19","Serious","513700N 0023877W","Canal","1","0","Machinery damage","On the evening of 25 November 2022, the general cargo vessel Arklow Raider, proceeded on a laden passage up the Bristol Channel towards her destination port of Sharpness, United Kingdom (UK). At around 19.19 hours (hrs) the vessel passed under the Severn Bridge and the Pilot commenced a planned turn to port to round Lyde Rock. Despite the Pilot applying starboard helm to counter the anticipated currents and counter currents, the vessel rapidly sheered to port, leaving the channel, before grounding heavily by the bow on a mud and rock bottom at approximately 19.21 hrs. After sounding all compartments and determining no apparent water ingress, the vessel was re-floated under its own power on the still rising tide. The passage was aborted and successfully completed on the following tide with the same Pilot. The vessel sustained damage to the shell plating and framing in the forepeak ballast tank, with water ingress subsequently detected in the forepeak. The vessel was dry-docked for repairs. No persons were injured and no pollution occurred.","General Cargo Ship","","2999","","4933","","","0","","0","0","0","0","0","0","2023-09-14",""
"C0013881","1","BIKAIN (IMO 9095333)","BIKAIN: Unknown/unspecified","FRA","2022-11-25 16:40","Serious","520826N 0101650W","Open sea","1","0","Contact","The French registered fishing vessel (FV) Bikain was alongside at the end of the main pier in Dingle Harbour, County Kerry, Ireland and was preparing to go to sea to resume fishing on 25 November 2022. The main engine was started and checks for sailing were being carried out when the controllable pitch propellers (CPP) went to the full astern position. The Skipper tried to stop the main engine with the emergency stop button on the wheelhouse console, but this failed. The mooring ropes holding the vessel parted and the vessel went quickly astern and made heavy contact with the southern boat marina pontoon causing extensive damage to the pontoon and to several boats that were secured there at the time. The main engine was eventually stopped by shutting off the fuel and the vessel drifted across the harbour basin. Another trawler, moored on the main jetty, saw the incident, and quickly went to assist and towed the FV Bikain back alongside the jetty. There were no injuries and no pollution, but extensive damage was caused to the southern pontoon and moored boats. As this was a French flagged vessel, the Director of the Bureau denqutes sur les vnements de mer (BEAmer) (French Marine Casualties Investigation Office of the Ministry of the Sea) also decided to investigate jointly with the Marine Casualty Investigation Board (MCIB).","Fish Catching Vessel","","285","","","","","0","","0","0","0","0","0","0","2023-09-15",""
"C0013746","1","MSC EMMA (IMO 9463047)","MSC EMMA: Unknown/unspecified","LBR","2022-11-19 04:20","Very serious","042879S 0840328W","South Pacific East Coast off Peru","0","0","Occupational accident","On November 19, at about 0400 LT MSC EMMA (IMO No: 9463047) at position Lat 04 28.8 S, and Long 084 03.3 W, C/O Called out the deck crew to make additional lashing on the monorail because the ship was rolling, and the monorail is moving.  At 0420LT the ABD climbed on to the monorail with the Bosun, but the ship was rolling heavily, and part of the previous lashing were damaged and let loose the railing. Thee Bosun evacuated but the ABD remained and was hit by the loose railings of monorail and the ABD fell down 20 meters to the deck below. He died from injuries sustained during the fall.","Container Ship (Fully Cellular)","","141649","","141406","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013797","1","ZODIAC 4 (-)","ZODIAC 4: Unknown/unspecified","PRT","2022-11-15 19:00","Very serious","610543S 0550150W","Open sea","1","0","Capsizing / listing","on 15-11-2022 during normal operation of disembarking passengers to the island, one of the vessel's support craft, ZODIAC 4 capsized with six passengers and two crew (not from the vessel). Two passengers FELL INTO THE WATER AND PASSED AWAY DUE TO HIPORTHERMIA.","Other Activities Ships","Ship rendered unfit to proceed","","","","","2","6","6","0","0","0","0","0","0","2023-05-03",""
"C0013798","1","UHL FORTUNE (IMO 9813242)","UHL FORTUNE: Unknown/unspecified","PRT","2022-11-11 23:00","Very serious","131567N 0802011E","Port","1","0","","on11-11-2022 at 23:00 the vessel was alongside in loading operations using ship's crane operated by stevedore. A wooden box was in progress when fall on the vessel's chief officer who was on deck.","General Cargo Ship","Loss of life,Serious injuries,Ship remains fit to proceed","16732","","17110","","13","0","1","1","0","0","1","0","0","2023-05-03",""
"C0013793","1","VIRGILIO MIGUEL (-)","VIRGILIO MIGUEL: Unknown/unspecified","PRT","2022-11-10 17:45","Very serious","405259N 0084860W","Coastal waters (within 12 miles)","1","0","","On 10 November 2022, at 17:15 a fishing vessel went to a fishing trip when a crew member fell overboard. After ending the search and rescue operation the body was not found.","Fish Catching Vessel","","63.54","","","","15","0","1","0","0","0","0","0","0","2023-04-18",""
"C0013867","1","MSC JEANNE (IMO 9135638)","MSC JEANNE: Unknown/unspecified","LBR","2022-10-10 08:05","Serious","512599N 0023600E","Open sea","1","0","","The Chief engineer joined the vessel on 8/10/22 in Le Havre. This was his first voyage on board MSC JEANNE. On 9/10/22 around 0700, the vessel anchored in Belgian waters, waiting to proceed towards the port of Antwerp. The Chief engineer had a good night sleep. On 10/10/22 at 0810, the Chief Engineer and the second engineer left the engine control room for a daily inspection in the engine room. The inspection round started with the descent of a stairs down to the main engine. The Chief engineer slipped when he was on top of the stairs and fell backwards. He slid on his back all the way down the stairs. His head hit the railing. The chief engineer was empty handed and was wearing a helmet with the chin strap fastened. He was wearing hearing protection and new safety shoes. Reportedly, he had his hands on the railing on the moment he fell down. The rubber outsole of his safety shoe was in perfect condition, but grease was found between the profile of his left shoe. The combination of the paint used on the platform of the stairway and the grease on the soleplate of the shoe, most probably made the chief engineer slip and fall. Most probably, the helmet prevented the chief engineer of a more serious head trauma. There was no indication of any fatigue. The chief engineer joined the vessel two days before the accident in Le Havre ( France). The time difference between Pakistan and France was 3 hours. The influence of jet lag was not considered to be a contributing factor.","Container Ship","Serious injuries","29022","","35021","","26","0","","0","0","0","1","0","0","2023-08-01",""
