Occurrence_Id,Local_Date_Main_Event,Date_Main_Event_Unconfirmed,Year_Reported,Occurrence_Severity,Main_Event_L1,Main_Event_L2,Main_Event_L3,Not_Vessel_Operations,Short_Description,Description,State_Reporting,National_Location_L1,National_Location_L2,Latitude,Longitude,Lat_Long_Unknown,Port_Of_Accident_L1,Port_Of_Accident_L2,Vessel_Profile_Id,Vessel_Severity,Flag_State,Vessel_Category_L1,Vessel_Category_L2,Ship_Craft_Type_L1,Ship_Craft_Type_L2,Ship_Craft_Type_L3,Ship_Craft_Type_L4,Ship_Craft_Type_L5,Is_Commercial_Vessel,Ship_Boat,Registered_Length_In_Metres,LOA_Length_Overall_in_Metres,GT_Gross_Tonnage,Hull_Material,Year_Built,Deaths_Crew,Deaths_Passenger,Deaths_Other,Deaths_Total,Injuries_Crew,Injuries_Passenger,Injuries_Other,Injuries_Total,Loss_Of_Vessel_Damage,Did_The_Vessel_Sink,Vessel_Abandoned,Damage_Description,Pollution_Result,Crew_Voyage,Voyage_Segment,Pilot_On_Board,Place_On_Board_L1,Place_On_Board_L2,Place_On_Board_L3,Place_On_Board_L4,Place_On_Board_L5,Port_Of_Departure_L1,Port_Of_Departure_L2,Publication_Date,Publication_No,Publication_Type,Published_Report_Website_Link,Vessel_Record_Modified_On
cbe39471-8308-ef11-9f89-000d3a870879,2024-04-01,No,2024,Marine Incident,Fire / Explosion,,,FALSE,Fire onboard vessel during mooring operation,"A small fire occurred in a cabin onboard a supply vessel. The smoke alarm activated and fire extinguished by one member of crew using a CO2 fire extinguisher. The fire alarm was raised with the crew meeting at the muster point onboard The Fire Brigade was called to attend, they confirmed the area safe. There was damage to the thermostat and discolouration to a bulkhead due to the thermostat overheating. There was no pollution or injuries.",UK,United Kingdom,England,54.9844,-1.5246,NA,UNITED KINGDOM,Newcastle upon Tyne,ff378798-8508-ef11-9f89-6045bd0b2bc9,Marine Incident,MALTA,Merchant Vessel >= 100gt,500gt or more,Service ship,Other offshore ship,,,,TRUE,,0,130,11000,Steel,2012,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,No,Damage to thermostat and discoloration of local bulkhead only.,No Pollution,34,Arrival,Yes,Accommodation,Cabin space - crew,,,,SPAIN,,,,,,2024-11-19
d3e2501d-7e64-ef11-bfe2-6045bd0b3b38,2024-08-01,No,2024,Marine Incident,Damage / Loss Of Equipment,,,FALSE,A bulk carrier had an inadequate pilot ladder arrangement.,A bulk carrier had an inadequate pilot ladder arrangement because it was secured using shackles and the retrieval line (tripping line) was secured too low.,UK,United Kingdom,England,55.0126,-1.3987,0.2,UNITED KINGDOM,Newcastle upon Tyne,58b50e84-7e64-ef11-bfe2-6045bd0b3b38,Marine Incident,THAILAND,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,130,130,9600,Steel,2011,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,,Arrival,Yes,,,,,,FRANCE,,,,,,2024-10-10
aac95d2c-1395-ef11-8a69-6045bd0cb55a,2024-10-01,No,2024,Less Serious,Accident to person(s),,,FALSE,A cruise ship passenger tripped and fell resulting in a fractured elbow,"A cruise ship passenger was entering a toilet when they tripped on a raised threshold. This resulted in them loosing their balance and falling forward hitting both knees and right elbow on the tiled floor. A member of the medical team attended the scene, provided first aid and escorted the passenger to the medical centre for further treatment for a fractured elbow. The area was inspected for defects with none found",UK,,,-34.713333,135.87,NA,AUSTRALIA,,0d1244a5-1595-ef11-8a69-002248c7c685,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,0,290,110000,Steel,2004,0,0,0,0,0,1,0,1,No damage,No,No,NA,NA,1059,Anchored or alongside,No,Ship,Deck,Accommodation (outside accommodation spaces),,,AUSTRALIA,,,,,,2024-10-28
af470dbb-ce33-ef11-8e4e-6045bd0b040f,2024-06-01,No,2024,Less Serious,Accident to person(s),,,FALSE,A cruise ship passenger tripped and fractured their wrist,"A cruise ship passenger stood up and tripped over a leg of a lounger, causing them to fall onto their left side. The passenger was assisted by nearby crew and taken to the medical centre for assessment. They were treated for a fracture to the left wrist which was placed in a cast. The passenger remained onboard.",UK,Norway,,58.9726,5.7276,NA,NORWAY,,62637c34-d033-ef11-8e4e-6045bd0b040f,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,0,330,140000,Steel,2015,0,0,0,0,0,1,0,1,No damage,No,No,NA,NA,1374,Anchored or alongside,No,Accommodation,Swimming pool,,,,NORWAY,,,,,,2024-06-26
f296ae0b-d592-ef11-8a69-002248c65071,2024-10-01,No,2024,Less Serious,Accident to person(s),,,FALSE,"A ro-pax ferry crew member tripped over bitts on deck and fell, sustaining a sprained wrist.","A ro-pax vessel crew member tripped over a set of bitts on the deck and fell, sustaining a sprained wrist. The crew member was letting the ropes go from a set of bitts that were mounted on the bulwarks Whilst doing this, they tripped over another set of bitts that were attached to the deck. They were signed off work for a week but returned a few days earlier to partake in light duties. The bitts on the deck are painted black and yellow but the lighting was thought to play a part as well as the crew member concentrating on the unmooring operation and not seeing the bitts.",UK,United Kingdom,Scotland,55.992367,-4.934433,,UNITED KINGDOM,Dunoon,6bc5fcf7-d592-ef11-8a69-002248c65071,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,200gt to 499.99gt,Passenger ship,Passenger and Ro-Ro cargo,Port or internal waters,,,TRUE,,0,49,480,Steel,2001,0,0,0,0,1,0,0,1,No damage,No,No,None,No Pollution,4,Departure,Under PEC direction,Ship,Deck,Open deck,,,UNITED KINGDOM,Gourock,,,,,2024-11-22
4b9dbcec-82c6-ee11-9079-002248c87a1d,2024-02-01,No,2024,Marine Incident,Contact,Shore Object,,FALSE,A search and rescue vessel had a collision with pontoon resulting in minor damage to hull.,A search and rescue vessel collided with a pontoon resulting in minor damage to hull. Whilst undertaking mooring and berthing training the vessel made contact with a bollard attached to the pontoon. This was human error whilst training combined with throttle sensitivity.,UK,United Kingdom,England,55.1257,-1.4982,N/A,UNITED KINGDOM,Blyth,22a5c3f2-85c6-ee11-9079-002248c87a4c,Marine Incident,UNITED KINGDOM,"Small Commercial (under 100gt, excl. FVs)",,Service ship,SAR craft,,,,TRUE,Fast rescue,8.4,8.4,2.4,Composite materials,2021,0,0,0,0,0,0,0,0,No damage,No,No,Damage to hull's gel coat,No Pollution,4,Arrival,n/a,,,,,,UNITED KINGDOM,Blyth,,,,,2024-11-15
9f9a4e7b-5fe0-ee11-904d-002248c8714f,2024-03-01,No,2024,Marine Incident,Loss Of Control,Loss Of Containment,,FALSE,Two tugs broke away from where they were moored due to excessive wash from a passing vessel.,"Two tugs were made fast in a rafted fashion, when a vessel passed at excessive speed causing wash that resulted in the two tugs parting their mooring lines and drifting down the river on the ebbing tide. The crews on board the two vessels realised the problem before they got into further difficulty and started their engines and made their way back to the berth. There was no damage other than the parted mooring lines, and no injuries or pollution. ",UK,United Kingdom,England,51.446,0.743,NA,UNITED KINGDOM,Sheerness,ce3c555d-61e0-ee11-904d-002248c8714f,Marine Incident,UNITED KINGDOM,Merchant Vessel >= 100gt,200gt to 499.99gt,Service ship,Tug (Towing/Pushing),,,,TRUE,,0,32,490,Steel,2023,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,No,Parted mooring lines.,No Pollution,4,Anchored or alongside,n/a,,,,,,UNITED KINGDOM,Sheerness,,,,,2024-07-04
9f9a4e7b-5fe0-ee11-904d-002248c8714f,2024-03-01,No,2024,Marine Incident,Loss Of Control,Loss Of Containment,,FALSE,Two tugs broke away from where they were moored due to excessive wash from a passing vessel.,"Two tugs were made fast in a rafted fashion, when a vessel passed at excessive speed causing wash that resulted in the two tugs parting their mooring lines and drifting down the river on the ebbing tide. The crews on board the two vessels realised the problem before they got into further difficulty and started their engines and made their way back to the berth. There was no damage other than the parted mooring lines, and no injuries or pollution. ",UK,United Kingdom,England,51.446,0.743,NA,UNITED KINGDOM,Sheerness,b9a02c10-60e0-ee11-904d-002248c8714f,Marine Incident,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Service ship,Tug (Towing/Pushing),,,,TRUE,,0,34,690,Steel,2009,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,No,Parted mooring lines. ,No Pollution,4,Anchored or alongside,n/a,,,,,,UNITED KINGDOM,Sheerness,,,,,2024-07-04
f2deaaec-6e0c-ef11-9f89-002248c86b2c,2024-05-01,No,2024,Marine Incident,Collision,With Multiple Ships,,FALSE,Passenger vessel near miss with several gigs,Passenger vessel near miss with several gigs.,UK,United Kingdom,England,49.919333,-6.31575,,UNITED KINGDOM,St Mary's,177463f2-6f0c-ef11-9f89-002248c86b2c,Marine Incident,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Passenger and general cargo,,,,TRUE,,68,68,1300,Steel,1977,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,19,Departure,Yes,Ship,Unknown,,,,Unknown,,,,,,2024-11-27
7aa981ad-962f-ef11-840a-6045bd0b033c,2024-06-01,No,2024,Marine Incident,Loss Of Control,Loss Of Directional Control,,FALSE,A service vessel experienced a loss of propulsion control and made contact with a moored fishing vessel,"The service vessel entered the harbour, whilst manoeuvring the vessel split controls to perform a turn. The starboard propeller didn’t respond to the command. The master attempted to counteract the action by putting both engines ahead increasing engine RPM but the starboard propeller remained heading astern. The service vessel made contact with a moored fishing vessel. No injuries to crew or passengers and no reported pollution.",UK,United Kingdom,England,55.1187,-1.4973,NA,UNITED KINGDOM,Blyth,d39f4ea3-9a2f-ef11-840a-6045bd0b033c,Marine Incident,UNITED KINGDOM,Fishing Vessel,Under 15m loa,Fishing vessel,Trawler,,,,TRUE,,9.9,9.9,11,Steel,1989,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,No,Holed one metre above water line on bow and damage to gunnel ,NA,,Anchored or alongside,n/a,Ship,Bow,Port,Above the waterline,,Unknown,,,,,,2024-08-20
