FeatureType,date,ShipsInvolved,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
FloodingAndSinking,20201228,ONEGA (IMO 7825590),,,,"Fishing vessel ""Onega"" sank due to flooding after receiving a significant roll on the starboard side.",72.0833,50.55,floodingAndSinkingType,sinking,50.5500 72.0833
FloodingAndSinking,20201226,KHARAZM (IMO 9442897),,,,The ship capsized and sank in heavy weather.,26.65,56.7667,floodingAndSinkingType,sinking,56.7667 26.6500
FireAndExplosion,20201226,MAERSK ELBA (IMO 9458078),0.0,,0.0,"Fire in auxiliary engine causes blackout, leading to emergency anchoring near Portuguese shore.",36.7675,-8.7992,fireAndExplosionType,fire,-8.7992 36.7675
OtherIncident,20201221,CHEM SINYOO (IMO 9248461),,,,Crewmember fatality due to wave strike.,9.75,110.6167,otherIncidentType,safety hindrance and near misses,110.6167 9.7500
OtherIncident,20201221,DANUM 175 (IMO 9248930),,,,Fatal accident involving crew member falling overboard during container lashing operation.,1.2914,103.7694,otherIncidentType,safety hindrance and near misses,103.7694 1.2914
CollisionAndContact,20201221,PADEREWSKI (IMO 9731389),1.0,,0.0,Fatality caused by pontoon collision during repositioning operation.,39.2669,-76.4942,collisionAndContactType,collision,-76.4942 39.2669
FireAndExplosion,20201218,KOTA BAHAGIA (IMO 9593672),,,,Fire in Number 2 cargo hold with no fatalities.,-39.4889,176.9222,fireAndExplosionType,fire,176.9222 -39.4889
FloodingAndSinking,20201217,XIN HONG (IMO 9205524),,,,"The ship sank after developing a list in heavy weather, leading to crew abandonment and SAR operations.",10.45,108.95,floodingAndSinkingType,sinking,108.9500 10.4500
OtherIncident,20201214,MARE (IMO 8411671),,,,"Two crew members fell overboard from m/v“MARE” in the port of Varna, resulting in one fatality.",43.2,27.8667,otherIncidentType,safety hindrance and near misses,27.8667 43.2000
OtherIncident,20201214,FPMC B 102 (IMO 9481635),,,,Fatal head injury of Bosun during hatch cover operation.,8.2861,132.2028,otherIncidentType,safety hindrance and near misses,132.2028 8.2861
FloodingAndSinking,20201213,"OCEANA (-), XIN QI SHENG 69 (IMO 9872250)",,,,"The ship collided with MV 'OCEANA', capsized, and sank near buoy D15 in Beicao Fairway.",31.1167,122.25,floodingAndSinkingType,capsizing,122.2500 31.1167
FireAndExplosion,20201211,PRIDE OF KENT (IMO 9015266),0.0,,0.0,Vessel experienced a fire incident.,50.7711,1.8703,fireAndExplosionType,fire,1.8703 50.7711
FloodingAndSinking,20201209,UK-171 Spes Salutis (IMO 8432479),0.0,,0.0,Beam trawler UK-171 capsized and sank after a fishing net incident.,53.6775,6.35,floodingAndSinkingType,capsizing,6.3500 53.6775
FireAndExplosion,20201208,MARQUESSA (IMO 9308819),,,,"Fire erupted in the engine room of M.T Marquessa, prompting distress calls and crew evacuation.",22.0,121.8944,fireAndExplosionType,fire,121.8944 22.0000
FloodingAndSinking,20201206,TOORAN (IMO 8654338),,,,Cargo vessel capsized and sank due to cargo shift during unfavorable weather conditions.,29.8333,48.4333,floodingAndSinkingType,capsizing,48.4333 29.8333
OtherIncident,20201202,SAGAMI (IMO 9379911),,,,Man overboard incident with loss of visual contact.,29.2694,-93.6689,otherIncidentType,safety hindrance and near misses,-93.6689 29.2694
OtherIncident,20201201,BLUE BOSPORUS (IMO 9370185),,,,Accidental release of lifeboat during drill resulting in serious injuries.,49.2972,-123.1886,otherIncidentType,safety hindrance and near misses,-123.1886 49.2972
FloodingAndSinking,20201129,ROMAIN LUCA (-),2.0,,1.0,"Sudden flooding led to the capsizing and sinking of the vessel ROMAIN LUCA, resulting in casualties.",43.1222,3.4417,floodingAndSinkingType,flooding,3.4417 43.1222
NavigationalIssues,20201126,AL MURAYKH (IMO 9708863),0.0,,0.0,Loss of directional control led to vessel grounding.,30.5222,32.3364,navigationalIssuesType,loss of direction,32.3364 30.5222
floodingAndSinking,20201125,LADY ATHENA (IMO 8672366),,,,"The ship capsized in heavy weather in the Sulu Sea, resulting in crew evacuation and missing crew members.",10.5333,120.0833,,capsizing,120.0833 10.5333
StrandingAndGrounding,20201125,NORTHSEA RATIONAL (IMO 9334296),0.0,,0.0,Ship allided with a quay wall due to rudder malfunction during autopilot switch.,53.5503,9.9275,strandingAndGroundingType,grounding,9.9275 53.5503
OtherIncident,20201121,CSSC HE MEI (IMO 9830070),,,,Fatal accident during cargo hold cleaning operation,25.2639,120.7083,otherIncidentType,safety hindrance and near misses,120.7083 25.2639
FloodingAndSinking,20201121,Joanna C (BM265) (-),,,,Capsize and sinking of UK registered scallop dredger with loss of life.,50.7333,0.1528,floodingAndSinkingType,sinking,0.1528 50.7333
FireAndExplosion,20201121,MINERVA VERA (IMO 9411941),2.0,,0.0,"A fire broke out in the accommodation block, resulting in two crew members losing their lives.",25.9272,51.6178,fireAndExplosionType,fire,51.6178 25.9272
FloodingAndSinking,20201120,CARMEN (IMO 8502949),,,,The ship developed list and sank in the Campos Basin.,-22.1167,-40.0,floodingAndSinkingType,sinking,-40.0000 -22.1167
FloodingAndSinking,20201120,INO (-),1.0,,1.0,Capsizing incident due to poor conditions and breaking waves leading to the sinking of the vessel.,44.6192,-1.2536,floodingAndSinkingType,capsizing,-1.2536 44.6192
OtherIncident,20201115,CARNIVAL HORIZON (IMO 9767091),,,,Passenger fell from accommodation balcony resulting in fatality.,24.0275,-80.9331,otherIncidentType,safety hindrance and near misses,-80.9331 24.0275
CollisionAndContact,20201112,"WINNING PROGRESS (IMO 9576296), Zhe Sheng Yu 0114 (-)",,,,Collision between bulk carrier and fishing boat resulting in sinking of fishing boat and missing crew members.,30.6444,123.05,collisionAndContactType,collision,123.0500 30.6444
OtherIncident,20201111,HOUSTON (IMO 9539602),,,,Bosun fell from vertical ladder in Cargo Hold No. 6.,45.7167,-25.9639,otherIncidentType,safety hindrance and near misses,-25.9639 45.7167
CollisionAndContact,20201108,"Achieve (HL 257) (-), TALIS (IMO 9015424)",,,,"Collision between Panamanian cargo vessel Talis and UK registered fishing vessel Achieve, resulting in sinking.",55.0333,-1.3486,collisionAndContactType,collision,-1.3486 55.0333
OtherIncident,20201105,STAVANGER BLISS (IMO 9364239),1.0,,0.0,Captain's death due to entering a cargo tank with unsafe atmosphere.,34.1942,128.35,otherIncidentType,safety hindrance and near misses,128.3500 34.1942
FloodingAndSinking,20201105,SOUTHWESTER (IMO 9126728),,,,Ship sank after taking water in engine room and developing list to port in North Atlantic Ocean.,40.3008,-9.45,floodingAndSinkingType,sinking,-9.4500 40.3008
OtherIncident,20201031,FRANCISCA (IMO 9113214),,,,"Loss overboard of 33 ISO containers near Duncansby Head, Scotland.",58.6,-2.9333,otherIncidentType,safety hindrance and near misses,-2.9333 58.6000
StrandingAndGrounding,20201027,MSF LADY HALOUM (IMO 9020338),,,,"Ship grounded in port of Tripoli due to marine storm, crew partially evacuated for towing operation.",32.9167,13.1833,strandingAndGroundingType,grounding,13.1833 32.9167
CollisionAndContact,20201027,DAYANG TOPAZ (IMO 9622863),,,,Ship drifted and made contact with platform after anchor line parted in heavy swell.,4.6667,113.85,collisionAndContactType,contact,113.8500 4.6667
OtherIncident,20201025,GAIL (IMO 9497505),,,,Fatal incident involving a crew member falling into a cargo hold.,29.425,48.8694,otherIncidentType,safety hindrance and near misses,48.8694 29.4250
FireAndExplosion,20201024,GENERAL HAZI ASLANOV (IMO 9333577),,,,Explosion of oil vapors during cargo tank washing resulting in casualties.,45.5889,36.7964,fireAndExplosionType,explosion,36.7964 45.5889
FireAndExplosion,20201022,CALM LAKE (IMO 9239460),,,,"A fatal fire incident occurred on board the chemical/oil tanker ""Calm Lake"" during tank cleaning operations.",2.1719,104.6917,fireAndExplosionType,fire,104.6917 2.1719
