FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
FireAndExplosion,20240401,,0,0,0,Fire onboard vessel during mooring operation,54.9844,-1.5246,fireAndExplosionType,fire,-1.5246 54.9844
HullAndEngineAccessoryDamage,20240801,,0,0,0,A bulk carrier had an inadequate pilot ladder arrangement.,55.0126,-1.3987,hullAndEngineAccessoryDamageType,outfit damage,-1.3987 55.0126
OtherIncident,20241001,,0,0,1,A cruise ship passenger tripped and fell resulting in a fractured elbow,-34.713333,135.87,otherIncidentType,other incident,135.87 -34.713333
OtherIncident,20240601,,0,0,1,A cruise ship passenger tripped and fractured their wrist,58.9726,5.7276,otherIncidentType,other incident,5.7276 58.9726
OtherIncident,20241001,,0,0,1,"A ro-pax ferry crew member tripped over bitts on deck and fell, sustaining a sprained wrist.",55.992367,-4.934433,otherIncidentType,safety hinderance and near misses,-4.934433 55.992367
CollisionAndContact,20240201,,0,0,0,A search and rescue vessel had a collision with pontoon resulting in minor damage to hull.,55.1257,-1.4982,collisionAndContactType,collision,-1.4982 55.1257
NavigationalIssues,20240301,,0,0,0,Two tugs broke away from where they were moored due to excessive wash from a passing vessel.,51.446,0.743,navigationalIssuesType,drifting,0.743 51.446
CollisionAndContact,20240501,,0,0,0,Passenger vessel near miss with several gigs,49.919333,-6.31575,collisionAndContactType,collision,-6.31575 49.919333
NavigationalIssues,20240601,,0,0,0,A service vessel experienced a loss of propulsion control and made contact with a moored fishing vessel,55.1187,-1.4973,navigationalIssuesType,loss of direction,-1.4973 55.1187
HullAndEngineAccessoryDamage,20240801,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.4422,0.7696,hullAndEngineAccessoryDamageType,outfit damage,0.7696 51.4422
FireAndExplosion,20241001,,1,0,0,Investigated by another state,51.4396,0.7425,fireAndExplosionType,fire,0.7425 51.4396
CollisionAndContact,20241101,,0,0,0,A general cargo vessel made contact with a berth during manoeuvring operations.,51.4397,0.741,collisionAndContactType,contact,0.741 51.4397
OtherIncident,20240101,,0,0,1,A cruise ship crewmember fractured their finger,-37.839767,144.925867,otherIncidentType,other incident,144.925867 -37.839767
OtherIncident,20240101,,0,0,1,Cruise ship's passenger lost their balance and fell resulting in a closed fracture.,-38.07,144.918333,otherIncidentType,other incident,144.918333 -38.07
OtherIncident,20240301,,0,0,1,Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle.,35.4567,139.6685,otherIncidentType,other incident,139.6685 35.4567
OtherIncident,20240901,,0,0,1,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,35.4559,139.651,otherIncidentType,other incident,139.651 35.4559
